Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/844.8V-L10,LiFePO4,125.03,125.03,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/844.8V-L15,LiFePO4,125.03,125.03,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/512V-E15,LiFePO4,125.44,62.72,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/512V-L15,LiFePO4,125.44,62.72,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/864V-J10,LiFePO4,127.87,127.87,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/864V-L10,LiFePO4,127.87,127.87,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/883.2V-E10,LiFePO4,130.709,65.3545,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/883.2V-E15,LiFePO4,130.709,65.3545,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/883.2V-J10,LiFePO4,130.71,130.71,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/883.2V-L10,LiFePO4,130.71,130.71,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/883.2V-L15,LiFePO4,130.71,130.71,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/921.6V-E15,LiFePO4,136.392,68.196,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/921.6V-L15,LiFePO4,136.4,136.4,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/576V-E15,LiFePO4,141.12,70.56,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/576V-L15,LiFePO4,141.12,70.56,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/960V-E15,LiFePO4,142.075,71.0375,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/960V-L15,LiFePO4,142.08,142.08,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/998.4V-E15,LiFePO4,147.758,73.879,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/998.4V-L15,LiFePO4,147.76,147.76,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1036.8V-E15,LiFePO4,153.441,76.7205,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1036.8V-L15,LiFePO4,153.45,153.45,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/640V-E15,LiFePO4,156.8,78.4,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/640V-L15,LiFePO4,156.8,78.4,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1075.2V-E15,LiFePO4,159.124,79.562,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1075.2V-L15,LiFePO4,159.13,159.13,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1113.6V-E15,LiFePO4,164.807,82.4035,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1113.6V-L15,LiFePO4,164.81,164.81,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1152V-E15,LiFePO4,170.49,85.245,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1152V-L15,LiFePO4,170.5,170.5,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/704V-E15,LiFePO4,172.48,86.24,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/704V-L15,LiFePO4,172.48,86.24,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1190.4V-E15,LiFePO4,176.173,88.0865,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1190.4V-L15,LiFePO4,176.18,176.18,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1228.8V-E15,LiFePO4,181.856,90.928,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1228.8V-L15,LiFePO4,181.86,181.86,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1267.2V-E15,LiFePO4,187.539,93.7695,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1267.2V-L15,LiFePO4,187.55,187.55,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/768V-E15,LiFePO4,188.16,94.08,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/768V-L15,LiFePO4,188.16,94.08,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/1305.6V-E15,LiFePO4,193.222,96.611,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/1305.6V-L15,LiFePO4,193.23,193.23,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/832V-E15,LiFePO4,203.84,101.92,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/832V-L15,LiFePO4,203.84,101.92,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/896V-E15,LiFePO4,219.52,109.76,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/896V-L15,LiFePO4,219.52,109.76,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/960V-E15,LiFePO4,235.2,117.6,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/960V-L15,LiFePO4,235.2,117.6,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1024V-E15,LiFePO4,250.88,125.44,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1024V-L15,LiFePO4,250.88,125.44,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1088V-E15,LiFePO4,266.56,133.28,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1088V-L15,LiFePO4,266.56,133.28,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1152V-E15,LiFePO4,282.24,141.12,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1152V-L15,LiFePO4,282.24,141.12,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1216V-E15,LiFePO4,297.92,148.96,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1216V-L15,LiFePO4,297.92,148.96,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1280V-E15,LiFePO4,313.6,156.8,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1280V-L15,LiFePO4,313.6,156.8,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1344V-E15,LiFePO4,329.28,164.64,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/1344V-L15,LiFePO4,329.28,164.64,0.50,16/08/2023
Renon Power Technology Inc,R-EB005151,LiFePO4,4.8,4.8,1.00,17/05/2023
Renon Power Technology Inc,R-EB005151-H,LiFePO4,4.8,4.8,1.00,17/05/2023
Renon Power Technology Inc,R-XC005151,LiFePO4,4.8,4.8,1.00,17/05/2023
Renon Power Technology Inc,R-XC005151-H,LiFePO4,4.8,4.8,1.00,17/05/2023
Renon Power Technology Inc,R-XL004011,LiFePO4,4.8,4.8,1.00,14/03/2023
Renon Power Technology Inc,R-XL004011-H,LiFePO4,4.8,4.8,1.00,14/03/2023
Renon Power Technology Inc,R-EB005161,LiFePO4,5.12,5,0.98,17/05/2023
Renon Power Technology Inc,R-EB005161-H,LiFePO4,5.12,5,0.98,17/05/2023
Renon Power Technology Inc,R-XC005161,LiFePO4,5.12,5,0.98,17/05/2023
Renon Power Technology Inc,R-XC005161-H,LiFePO4,5.12,5,0.98,17/05/2023
Renon Power Technology Inc,R-XL005011,LiFePO4,5.12,5,0.98,14/03/2023
Renon Power Technology Inc,R-XL005011-H,LiFePO4,5.12,5,0.98,14/03/2023
Renon Power Technology Inc,R-XL009021,LiFePO4,9.6,9.6,1.00,14/03/2023
Renon Power Technology Inc,R-XL009021-H,LiFePO4,9.6,9.6,1.00,14/03/2023
Renon Power Technology Inc,R-XL010021,LiFePO4,10.24,10,0.98,14/03/2023
Renon Power Technology Inc,R-XL010021-H,LiFePO4,10.24,10,0.98,14/03/2023
Renon Power Technology Inc,R-XL014031,LiFePO4,14.4,14.4,1.00,14/03/2023
Renon Power Technology Inc,R-XL014031-H,LiFePO4,14.4,14.4,1.00,14/03/2023
Renon Power Technology Inc,R-XL015031,LiFePO4,15.36,15,0.98,14/03/2023
Renon Power Technology Inc,R-XL015031-H,LiFePO4,15.36,15,0.98,14/03/2023
Renon Power Technology Inc,R-XL019041,LiFePO4,19.2,14.4,0.75,14/03/2023
Renon Power Technology Inc,R-XL019041-H,LiFePO4,19.2,14.4,0.75,14/03/2023
Renon Power Technology Inc,R-XL020041,LiFePO4,20.48,15,0.73,14/03/2023
Renon Power Technology Inc,R-XL020041-H,LiFePO4,20.48,15,0.73,14/03/2023
Renon Power Technology Inc,R-XL024051,LiFePO4,24,14.4,0.60,14/03/2023
Renon Power Technology Inc,R-XL024051-H,LiFePO4,24,14.4,0.60,14/03/2023
Renon Power Technology Inc,R-XL025051,LiFePO4,25.6,15,0.59,14/03/2023
Renon Power Technology Inc,R-XL025051-H,LiFePO4,25.6,15,0.59,14/03/2023
Renon Power Technology Inc,R-XL028061,LiFePO4,28.8,14.4,0.50,14/03/2023
Renon Power Technology Inc,R-XL028061-H,LiFePO4,28.8,14.4,0.50,14/03/2023
Renon Power Technology Inc,R-XL030061,LiFePO4,30.72,15,0.49,14/03/2023
Renon Power Technology Inc,R-XL030061-H,LiFePO4,30.72,15,0.49,14/03/2023
RNG International Inc,RES0505BS-51LFP,LiFePO4,5,5,1.00,14/09/2022
RNG International Inc,RES1009BS-51LFP,LiFePO4,10,9,0.90,14/09/2022
RNG International Inc,RES1510BS-51LFP,LiFePO4,15,10,0.67,14/09/2022
RNG International Inc,RES2010BS-51LFP,LiFePO4,20,10,0.50,14/09/2022
Schneider Electric IT Corporation,BAT-10,LiFePO4,10.56,8.1,0.77,21/07/2023
Schneider Electric IT Corporation,BAT10K1,LiFePO4,10.56,8.1,0.77,21/07/2023
"ShanDong Sacred Sun Power Sources Co., Ltd",FCIFP48100A,LiFePO4,4.8,3.5,0.73,24/03/2021
"ShanDong Sacred Sun Power Sources Co., Ltd",SSIF2P15S48100C,LiFePO4,4.8,3.5,0.73,24/03/2021
"Shanghai PYTES Energy Co., Ltd.",E-BOX 48100R,Li-ion,5.12,2.56,0.50,12/01/2022
"Shanghai PYTES Energy Co., Ltd.",V5°,LiFePO4,5.12,3.84,0.75,21/09/2023
"Shanghai PYTES Energy Co., Ltd.",V5°α,LiFePO4,5.12,3.84,0.75,21/09/2023
"Shenzhen BYD Electronics Co., Ltd.",HVL 12.0,LiFePO4,12,7.5,0.63,12/11/2020
"Shenzhen BYD Electronics Co., Ltd.",HVL 16.0,LiFePO4,16,10,0.63,12/11/2020
"Shenzhen BYD Electronics Co., Ltd.",HVL 20.0,LiFePO4,20,12.5,0.63,12/11/2020
"Shenzhen BYD Electronics Co., Ltd.",HVL 24.0,LiFePO4,24,15,0.63,12/11/2020
"Shenzhen BYD Electronics Co., Ltd.",HVL 28.0,LiFePO4,28,17.5,0.63,12/11/2020
"Shenzhen BYD Electronics Co., Ltd.",HVL 32.0,LiFePO4,32,20,0.63,12/11/2020
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 5.0,LiFePO4,5.12,5.12,1.00,21/12/2018
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 7.5,LiFePO4,7.68,7.68,1.00,21/12/2018
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 10.0,LiFePO4,10.24,10.24,1.00,21/12/2018
"Shenzhen Growatt New Energy Co., Ltd",APX 5.0P-S0-US,LiFePO4,5,5,1.00,01/06/2023
"Shenzhen Growatt New Energy Co., Ltd",APX 10.0P-S0-US,LiFePO4,10,10,1.00,01/06/2023
"Shenzhen Growatt New Energy Co., Ltd",APX 15.0P-S0-US,LiFePO4,15,15,1.00,01/06/2023
"Shenzhen Growatt New Energy Co., Ltd",APX 20.0P-S0-US,LiFePO4,20,20,1.00,01/06/2023
"Shenzhen Growatt New Energy Co., Ltd",APX 25.0P-S0-US,LiFePO4,25,25,1.00,01/06/2023
"Shenzhen Growatt New Energy Co., Ltd",APX 30.0P-S0-US,LiFePO4,30,30,1.00,01/06/2023
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 6.6H-C1-US,LiFePO4,6.6,3.5,0.53,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 9.9H-C1-US,LiFePO4,9.9,5.2,0.53,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 13.2H-C1-US,LiFePO4,13.2,5.2,0.39,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 16.5H-C1-US,LiFePO4,16.5,5.2,0.32,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 19.8H-C1-US,LiFePO4,19.8,5.2,0.26,27/11/2020
"Shenzhen GSL Energy Co., Ltd.",GSL051200A-B-GBP2,Li-ion,10.24,5.12,0.50,28/09/2022
"Shenzhen GSL Energy Co., Ltd.",GSL051280A-B-GBP2,LiFePO4,14.34,7.68,0.54,10/10/2022
Shenzhen UZ Energy Limited,L051100-B,LiFePO4,5.12,5.12,1.00,14/03/2023
Shenzhen UZ Energy Limited,PLPA-L1-10K2,LiFePO4,10.24,6.14,0.60,07/11/2023
"SimpliPhi Power, Inc.",AmpliPHI3.8-48,LiFePO4,3.8,1.9,0.50,04/06/2022
"SimpliPhi Power, Inc.",PHI3.8 24V 60 VTE BRK,LiFePO4,3.8,1.9,0.50,11/08/2020
"SimpliPhi Power, Inc.",PHI3.8 48V 60 VTE BRK,LiFePO4,3.8,1.9,0.50,11/08/2020
"SimpliPhi Power, Inc.",SPHI-B-4.9,LiFePO4,4.9,2.48,0.51,04/06/2022
SolarEdge Technologies Ltd.,BAT-10K1P,Li-ion,9.7,5,0.52,17/06/2021
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 10.0,LiFePO4,10,5.5,0.55,13/04/2022
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 15.0,LiFePO4,15,8.3,0.55,13/04/2022
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 20.0,LiFePO4,20,11.1,0.56,13/04/2022
"Soluna(Shanghai)Co.,Ltd",Soluna 6K Pack HV(L-E),Li-ion,6,6,1.00,16/10/2023
"Soluna(Shanghai)Co.,Ltd",Soluna 10K Pack HV(L-E),Li-ion,10,10,1.00,16/10/2023
"Soluna(Shanghai)Co.,Ltd",Soluna 15K Pack HV(L-E),Li-ion,15,15,1.00,16/10/2023
"StackRack Battery Systems, LLC",SR5K-UL,LiFePO4,5.12,2.56,0.50,04/01/2023
Storz Power LLC,SP5.12-LFPv4,LiFePO4,5.12,5.12,1.00,22/07/2020
"Sunwoda Energy Technology Co., Ltd.",Atrix-5,LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.","B051100P
02",LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-5,LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-10,LiFePO4,10,9,0.90,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-10,LiFePO4,10,9,0.90,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-15,LiFePO4,15,10,0.67,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-15,LiFePO4,15,10,0.67,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-20,LiFePO4,20,10,0.50,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-20,LiFePO4,20,10,0.50,02/02/2023
"Tigo Energy, Inc",TSB-7-US,LiFePO4,6.6,3.5,0.53,08/11/2021
"Tigo Energy, Inc",TSB-10-US,LiFePO4,9.9,5.2,0.53,08/11/2021
"Tigo Energy, Inc",TSB-14-US,LiFePO4,13.2,5.2,0.39,08/11/2021
"Tigo Energy, Inc",TSB-17-US,LiFePO4,16.5,5.2,0.32,08/11/2021
"Tigo Energy, Inc",TSB-20-US,LiFePO4,19.8,5.2,0.26,08/11/2021
TROES Corp.,TR-S138-6P9,LiFePO4,55.3,55.3,1.00,26/01/2022
TROES Corp.,TR-S138-7P9,LiFePO4,64.51,64.51,1.00,26/01/2022
TROES Corp.,TR-S138-8P9,LiFePO4,73.73,73.73,1.00,26/01/2022
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 4.8kWh,LiFePO4,4.8,2.88,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 5000A,LiFePO4,5,3,0.60,08/09/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 5000,LiFePO4,5.1,3,0.59,26/10/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 9.6kWh,LiFePO4,9.6,5.76,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 14.4kWh,LiFePO4,14.4,8.64,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 19.2kWh,LiFePO4,19.2,9.6,0.50,21/06/2023
"Ulectric Technology Co., Ltd",Camel HESS-5,LiFePO4,5,5,1.00,27/12/2022
"Ulectric Technology Co., Ltd",Camel HESS-10,LiFePO4,10,9,0.90,27/12/2022
"Ulectric Technology Co., Ltd",Camel HESS-15,LiFePO4,15,10,0.67,27/12/2022
"Ulectric Technology Co., Ltd",Camel HSS-20,LiFePO4,20,10,0.50,27/12/2022
Xiamen Ampace Technology Limited,C-M51200ESA1,LiFePO4,10.03,5.12,0.51,10/05/2022
"Xiamen Kehua Digital Energy Tech Co., Ltd",iStoragE B5L-S1,LiFePO4,5,2.5,0.50,07/11/2022
"Yotta Energy, Inc.",SL-1000,LiFePO4,1,0.675,0.68,05/01/2023
